iter	Passed	Remaining
0	8	8975
1	16	8182
2	23	7849
3	30	7677
4	37	7524
5	44	7428
6	52	7390
7	59	7344
8	65	7265
9	73	7297
10	80	7273
11	88	7281
12	95	7226
13	102	7243
14	109	7187
15	116	7146
16	124	7174
17	131	7182
18	139	7199
19	146	7167
20	153	7162
21	160	7128
22	168	7140
23	175	7121
24	182	7132
25	189	7115
26	197	7105
27	204	7112
28	212	7098
29	219	7112
30	227	7106
31	234	7107
32	241	7086
33	249	7095
34	257	7091
35	264	7085
36	271	7063
37	278	7045
38	285	7038
39	292	7027
40	300	7020
41	307	7011
42	315	7017
43	322	7012
44	329	7001
45	337	6999
46	344	6978
47	352	6984
48	359	6972
49	366	6964
50	373	6950
51	381	6958
52	388	6944
53	395	6932
54	403	6929
55	410	6919
56	418	6918
57	425	6909
58	432	6903
59	439	6887
60	447	6889
61	454	6877
62	461	6863
63	468	6849
64	475	6838
65	482	6832
66	489	6820
67	497	6817
68	504	6806
69	511	6800
70	519	6791
71	526	6789
72	533	6779
73	541	6772
74	548	6770
75	556	6760
76	564	6766
77	572	6762
78	579	6751
79	585	6737
80	592	6727
81	599	6714
82	607	6708
83	614	6699
84	622	6697
85	629	6685
86	635	6673
87	643	6664
88	650	6654
89	657	6651
90	665	6643
91	672	6633
92	679	6630
93	686	6620
94	694	6617
95	701	6605
96	708	6600
97	715	6586
98	722	6579
99	730	6571
100	737	6560
101	745	6560
102	752	6549
103	760	6550
104	767	6544
105	775	6538
106	782	6528
107	791	6534
108	798	6527
109	806	6522
110	813	6514
111	820	6507
112	827	6497
113	835	6491
114	842	6483
115	850	6478
116	857	6473
117	864	6463
118	872	6456
119	879	6448
120	886	6440
121	894	6437
122	902	6437
123	911	6439
124	919	6435
125	926	6430
126	934	6420
127	941	6416
128	948	6405
129	956	6402
130	963	6393
131	972	6391
132	979	6383
133	987	6379
134	994	6373
135	1008	6407
136	1016	6401
137	1023	6393
138	1030	6383
139	1037	6375
140	1045	6368
141	1052	6362
142	1060	6356
143	1068	6353
144	1077	6351
145	1085	6346
146	1092	6337
147	1099	6331
148	1107	6323
149	1114	6315
150	1121	6306
151	1128	6298
152	1136	6290
153	1143	6281
154	1150	6273
155	1157	6263
156	1165	6257
157	1172	6248
158	1180	6241
159	1187	6234
160	1195	6231
161	1203	6223
162	1210	6213
163	1217	6206
164	1224	6196
165	1232	6191
166	1239	6182
167	1246	6171
168	1252	6160
169	1259	6150
170	1268	6147
171	1275	6140
172	1283	6136
173	1290	6127
174	1298	6122
