iter	Passed	Remaining
0	27	27160
1	38	19086
2	49	16547
3	62	15603
4	76	15232
5	88	14628
6	99	14074
7	110	13658
8	121	13329
9	132	13085
10	143	12879
11	153	12649
12	164	12472
13	174	12317
14	185	12197
15	196	12082
16	207	11988
17	218	11896
18	228	11820
19	239	11757
20	251	11705
21	261	11618
22	272	11564
23	283	11525
24	294	11471
25	305	11430
26	316	11402
27	326	11333
28	337	11306
29	348	11283
30	359	11233
31	370	11197
32	381	11167
33	392	11143
34	403	11124
35	414	11094
36	425	11069
37	436	11045
38	447	11016
39	458	11008
40	470	11011
41	483	11021
42	495	11022
43	506	11001
44	516	10969
45	527	10947
46	538	10926
47	549	10902
48	560	10876
49	571	10850
50	581	10823
51	592	10806
52	603	10788
53	614	10771
54	625	10746
55	636	10726
56	647	10706
57	657	10685
58	668	10664
59	679	10650
60	690	10634
61	701	10613
62	712	10600
63	723	10574
64	734	10564
65	745	10546
66	756	10533
67	766	10507
68	777	10486
69	788	10473
70	798	10453
71	809	10435
72	820	10420
73	831	10410
74	842	10395
75	854	10384
76	864	10367
77	875	10354
78	887	10342
79	897	10326
80	908	10310
81	919	10290
82	930	10277
83	941	10262
84	952	10248
85	963	10234
86	973	10213
87	984	10206
88	995	10192
89	1006	10177
90	1017	10160
91	1028	10145
92	1038	10126
93	1049	10114
94	1060	10102
95	1071	10088
96	1082	10073
97	1092	10059
98	1103	10046
99	1114	10034
100	1125	10021
101	1136	10004
102	1147	9993
103	1158	9984
104	1169	9970
105	1180	9956
106	1191	9940
107	1202	9927
108	1212	9912
109	1223	9898
110	1234	9886
111	1245	9874
112	1256	9863
113	1267	9851
114	1278	9837
115	1288	9816
116	1299	9804
117	1310	9792
118	1320	9778
119	1331	9763
120	1342	9752
121	1353	9741
122	1364	9729
123	1375	9719
124	1387	9711
125	1398	9698
126	1409	9688
127	1420	9673
128	1430	9657
129	1441	9648
130	1453	9639
131	1465	9634
132	1477	9631
133	1489	9624
134	1499	9610
135	1511	9600
136	1522	9588
137	1532	9574
138	1543	9561
139	1554	9548
140	1565	9536
141	1576	9523
142	1587	9512
143	1598	9500
144	1609	9488
145	1619	9472
146	1630	9460
147	1641	9449
148	1652	9436
149	1663	9428
150	1675	9418
151	1685	9404
152	1696	9393
153	1708	9383
154	1718	9371
155	1729	9357
156	1739	9341
157	1750	9326
158	1760	9312
159	1772	9304
160	1783	9291
161	1793	9277
162	1805	9269
163	1815	9254
164	1826	9243
165	1837	9230
166	1847	9217
167	1859	9208
168	1870	9196
169	1881	9184
170	1891	9170
171	1902	9159
172	1913	9148
173	1924	9137
174	1935	9123
175	1946	9113
176	1957	9101
177	1968	9088
178	1978	9076
179	1989	9064
180	2000	9050
181	2011	9039
182	2022	9030
183	2034	9021
184	2045	9010
185	2056	8998
186	2067	8987
187	2078	8977
188	2089	8966
189	2100	8956
190	2112	8946
191	2123	8935
192	2134	8923
193	2144	8910
194	2155	8897
195	2165	8884
196	2176	8873
197	2187	8861
198	2198	8849
199	2209	8837
200	2220	8827
201	2231	8813
202	2241	8801
203	2252	8790
204	2263	8779
205	2274	8766
206	2285	8753
207	2295	8742
208	2306	8730
209	2317	8718
210	2328	8708
211	2339	8695
212	2350	8683
213	2361	8673
214	2373	8664
215	2384	8655
216	2395	8642
217	2406	8631
218	2417	8620
219	2428	8609
220	2440	8600
221	2452	8593
222	2464	8585
223	2476	8580
224	2488	8572
225	2499	8560
226	2510	8550
227	2521	8538
228	2532	8527
229	2543	8514
230	2554	8502
231	2565	8491
